Summe von Preis;;Jahr;;;;;;;;;;;;;;;;;;;;;;Weighted Prices: Price * Number of issues GoOs;;;;;;;;;;;;;;;;;;;;;
Dänemark;Wind;2,29068;2,487915;2,487915;2,487915;2,487915;2,487915;2,487915;2,487915;2,487915;2,58444;2,74086;2,74086;2,845125;2,930821875;3,31173;3,344355;3,344355;3,3458625;4,1440275;4,1440275;4,1440275;;;21244944,5;24165290,97;25676063,92;27186836,87;28697609,82;30208382,77;31554279,79;32900176,82;34246073,85;36972852,05;40693321,36;41757428,32;44450508,45;46927241,93;54311943,33;56145395,98;57443802,85;58768688,33;74396996,21;76005866,61;77614737,01
Deutschland;Biomass;2,094602344;2,208789844;2,208789844;2,208789844;2,800304473;2,800304473;2,800304473;2,800304473;2,800304473;2,800304473;2,800304473;2,800304473;2,800304473;2,800304473;2,800304473;3,2197375;3,584389725;3,584389725;4,028915625;4,028915625;4,028915625;;;3278864,088;3872600,771;4320444,654;4803391,423;6749555,61;7460127,123;8182129,025;8957680,8;9790332,43;10683855,02;11642254,04;12544026,91;13506871,43;14534640,33;15631418,94;19318093,84;23103477,93;24806972,08;29924773,34;32100506,33;34419000,68
Deutschland;Geothermal;47,45762712;46,94915254;46,44067797;45,93220339;45,42372881;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;22,1148;;;0;0;0;0;0;638657,8397;700468,07;766862,6787;838145,5781;914639,6107;996687,6827;1073888,017;1156316,666;1244303,46;1338198,142;1438371,533;1545216,768;1659150,597;1780614,768;1910077,479;2048034,924
Deutschland;Hydro;0,630534375;0,6348125;0,63628125;0,639172266;0,754164844;0,8110125;0,933375;1,291125;1,496144531;1,577707031;1,577707031;1,577707031;1,577707031;1,590890625;1,72771875;1,72771875;1,72771875;1,761;2,00021748;2,00021748;2,00021748;;;11276521,49;12715643,82;14218956,6;15880203,28;20767334,73;24683860,06;31157441,45;47184914,53;59759958,55;68769148,46;74938109,42;80742582,8;78916707,97;81553601,78;90715329,98;92862857,31;95010384,63;99029476,26;114968061,5;117454300,5;119940539,5
Deutschland;Other RES;47,45762712;46,94915254;46,44067797;45,93220339;45,42372881;44,91525424;44,40677966;43,89830508;43,38983051;42,88135593;42,37288136;42,20338983;42,03389831;41,86440678;41,69491525;41,52542373;41,3559322;41,18644068;40,33898305;39,23728814;38,13559322;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deutschland;Solar;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;19,90332;;;254173,9737;284680,408;317602,0508;353104,1568;391362,4684;432563,8507;474428,0063;519397,1679;567677,1757;619486,6913;675057,9655;727345,8605;783174,9001;842768,479;906363,4785;974211,0568;1046577,484;1123745,027;1206012,88;1293698,156;1387136,927
Deutschland;Wind;5,53515;5,53515;5,53515;6,29862;6,29862;7,18149375;7,18149375;7,57299375;7,57299375;7,57299375;7,57299375;7,57299375;7,57299375;7,57299375;7,57299375;8,29305;8,29305;8,29305;8,29305;8,29305;8,29305;;;471752,5682;528373,1911;589476,495;745765,0698;826567,6087;1041642,784;1142454,48;1318927,658;1441527,167;1573089,307;1714203,843;1846980,753;1988749,844;2140078,393;2301567,921;2709075,683;2910311,47;3124898,147;3353667,712;3597501,989;3857335,524
Estland;Biomass;47,45762712;46,94915254;46,44067797;45,93220339;45,42372881;0,981257813;0,981257813;0,981257813;1,061057813;1,2507075;1,319537461;1,319537461;1,319537461;1,319537461;1,64283;1,818895313;2,3402925;2,692098281;2,822080078;2,822080078;2,822080078;;;0;0;0;0;0;22263,08346;24417,7369;26732,19798;31593,11473;40638,68991;46721,28237;50340,16791;54204,13879;58328,65634;78099,27218;92942,15161;128467,5649;158675,7858;178514,3953;191493,5966;205324,4321
Estland;Geothermal;47,45762712;46,94915254;46,44067797;45,93220339;45,42372881;44,91525424;44,40677966;43,89830508;43,38983051;42,88135593;42,37288136;42,20338983;42,03389831;41,86440678;41,69491525;41,52542373;41,3559322;41,18644068;40,33898305;39,23728814;38,13559322;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Estland;Hydro;0,671923828;0,671923828;0,687304688;0,687304688;0,687304688;0,687304688;0,687304688;0,687304688;0,693815625;0,746085938;0,795914063;0,80675;0,813867188;0,841335938;0,86371875;1,0587;1,090640625;1,17345;1,17345;2,015771484;2,015771484;;;89868,80572;93083,39158;101166,7694;107119,3959;113072,0224;119024,6489;124327,6445;129630,6401;136211,8817;152230,2705;168538,1138;175299,8448;181352,9343;192132,4461;202026,5437;253495,56;267182,5857;293966,7179;300464,4035;527304,4661;538466,296
